id	li	aa2	aa24	ie2	ie24	tnr
T3	0.31	49.82	65.76	11.99	16.67	8.93
T3	0.40	33.67	58.35	14.00	27.05	19.54
T3	0.38	34.25	56.67	16.62	20.79	14.23
T3	0.48	33.27	58.28	15.81	31.16	23.52
T3	0.54	39.02	59.70	15.35	22.85	14.78
T3	0.28	47.42	65.91	14.14	20.13	10.55
T3	0.21	31.51	55.70	15.15	32.37	23.72
T3	0.31	27.96	56.02	17.00	37.45	28.34
T3	0.39	36.35	57.50	15.10	31.26	24.06
T3	0.33	47.30	63.29	21.79	26.74	20.76
T3	0.41	58.44	70.29	18.26	22.36	14.79
T3	0.46	48.71	63.33	14.97	18.71	14.69
T3	0.35	50.02	62.17	15.85	18.39	11.97
T3	0.35	41.28	59.69	17.22	19.77	16.27
T3	0.26	48.69	67.40	16.55	26.12	22.25
T3	0.30	39.70	63.96	17.20	25.39	20.58
T3	0.37	41.14	62.40	22.40	36.97	30.11
T3	0.31	49.59	63.71	14.23	18.91	13.71
T5	0.27	14.79	45.21	3.95	21.14	14.97
T5	0.39	11.24	39.43	5.54	27.50	22.30
T5	0.28	16.11	43.21	6.12	23.57	20.24
T5	0.34	24.39	47.23	5.60	17.06	11.94
T5	0.27	17.15	43.26	4.94	20.65	15.92
T5	0.41	21.73	52.04	5.52	18.16	10.98
T5	0.39	15.52	42.41	8.11	25.16	18.24
T5	0.32	28.27	51.35	10.07	17.03	11.59
T5	0.24	27.68	53.05	8.11	20.25	11.45
T5	0.43	25.43	51.61	7.45	17.65	8.65
T5	0.27	17.46	43.94	6.81	22.85	16.86
T5	0.53	25.20	50.33	9.76	20.46	13.75
T5	0.22	18.96	46.99	6.79	24.62	18.03
T5	0.25	18.49	50.20	7.97	18.14	12.58
T5	0.17	24.69	51.46	9.34	21.08	19.61
T5	0.26	20.05	48.44	9.45	29.09	20.51
T5	0.25	21.16	50.50	8.42	30.05	23.11
T5	0.07	21.18	48.70	8.46	27.76	21.15
T6	0.86	11.33	32.97	3.89	13.25	8.54
T6	0.54	12.60	33.58	4.72	14.29	10.40
T6	0.44	14.80	36.50	4.34	13.17	11.14
T6	0.48	21.34	40.16	5.64	14.52	10.08
T6	0.49	16.94	37.81	5.68	13.88	8.91
T6	0.39	16.01	40.41	4.83	14.85	9.94
T6	0.41	19.13	39.37	8.16	18.09	12.60
T6	0.32	21.01	44.26	4.65	12.79	7.65
T6	0.55	26.77	45.15	6.88	12.25	11.38
T6	0.72	24.00	46.65	6.41	16.25	9.69
T6	0.53	24.46	43.78	7.59	19.77	14.18
T6	0.64	10.48	34.11	2.89	18.62	16.57
T6	0.53	19.04	42.95	4.50	12.53	7.74
T6	0.59	20.11	41.35	4.62	14.00	6.68
T6	0.35	17.71	38.43	5.81	17.52	7.97
T6	0.36	14.70	39.23	5.77	16.75	12.88
T6	0.40	22.22	42.93	7.31	17.18	12.28
T6	0.15	13.57	33.57	4.11	20.49	16.17
T7	0.60	24.46	47.05	10.10	22.52	13.29
T7	0.37	12.82	43.51	4.12	22.50	16.94
T7	0.38	20.83	47.29	7.72	25.37	17.72
T7	0.52	18.92	46.27	7.57	22.09	15.95
T7	0.28	27.70	49.01	8.87	19.35	12.43
T7	0.24	26.88	48.90	11.74	19.05	12.54
T7	0.22	35.34	54.52	14.39	14.53	9.16
T7	0.21	19.70	44.85	7.87	22.72	17.68
T7	0.32	23.87	45.71	7.09	21.40	15.00
T7	0.47	17.81	42.89	5.15	21.84	16.28
T7	0.42	17.87	43.93	6.26	21.46	16.19
T7	0.39	17.89	45.91	11.45	17.82	11.58
T7	0.19	27.74	49.39	11.42	22.11	15.12
T7	0.14	28.06	51.22	11.57	23.48	15.02
T7	0.25	30.59	51.64	9.77	20.70	10.80
T7	0.26	24.58	50.05	11.20	23.84	18.92
T7	0.30	19.36	46.88	6.51	23.95	20.15
T7	0.20	29.27	51.70	9.17	15.93	9.37
T8	0.54	17.83	43.90	4.31	24.15	19.56
T8	0.50	19.04	46.22	6.01	21.53	17.24
T8	0.48	15.49	41.61	3.70	25.74	19.72
T8	0.49	17.12	45.70	4.36	18.39	14.17
T8	0.46	23.57	49.85	5.43	17.17	9.93
T8	0.41	13.06	38.74	3.81	18.35	11.94
T8	0.44	21.15	46.51	7.08	18.24	10.96
T8	0.12	23.98	50.55	6.01	14.72	7.81
T8	0.51	30.31	50.86	7.84	12.96	12.41
T8	0.49	28.78	50.08	8.66	14.14	10.88
T8	0.39	28.24	50.30	10.57	18.84	11.34
T8	0.48	23.12	47.11	8.21	21.22	15.17
T8	0.33	29.06	50.02	12.04	18.57	12.86
T8	0.34	19.57	42.03	6.74	22.88	17.82
T8	0.26	15.29	38.42	7.50	20.04	15.70
T8	0.61	20.97	45.66	4.75	20.66	11.72
T8	0.45	19.38	46.35	4.35	14.19	8.22
T8	0.40	22.61	45.22	5.86	16.95	10.60
