id	mor_par	mor_per	moe_par	moe_per
T3	55.02	15.53	9401.82	1447.04
T3	33.28	16.04	5866.60	1274.12
T3	63.17	13.25	10310.67	1145.01
T3	49.04	20.18	7912.89	1628.10
T3	50.06	9.38	7394.29	736.37
T3	55.42	14.67	7211.63	1314.65
T5	51.43	19.78	7623.37	1142.40
T5	37.72	7.88	7176.49	708.48
T5	37.65	13.46	6458.47	1029.23
T5	37.66	16.40	8107.49	1228.20
T5	37.73	19.21	6806.43	1220.89
T5	32.09	16.53	7568.35	1189.92
T6	39.21	16.45	6884.29	1328.47
T6	43.22	10.80	7114.63	768.62
T6	60.26	27.61	8223.86	1586.01
T6	45.50	17.00	7819.34	1175.41
T6	43.05	18.27	7441.38	1223.53
T6	64.02	17.82	9337.92	1127.83
T7	31.48	10.93	5932.59	1113.87
T7	54.34	15.25	8588.63	1067.84
T7	29.74	14.74	6908.06	1179.41
T7	51.97	9.86	8863.37	850.86
T7	45.23	12.28	7782.21	977.70
T7	31.85	13.56	6231.11	946.30
T8	51.95	16.26	8112.00	1140.30
T8	38.26	28.94	8693.41	1897.66
T8	44.28	17.48	7406.79	1305.06
T8	51.79	20.25	9076.53	1346.93
T8	36.27	15.67	7413.91	1252.75
T8	62.26	16.48	9000.71	1061.24
