id	time	water	ie
T3	2	49.82	11.99
T3	2	33.67	14.00
T3	2	34.25	16.62
T3	2	33.27	15.81
T3	2	39.02	15.35
T3	2	47.42	14.14
T3	2	31.51	15.15
T3	2	27.96	17.00
T3	2	36.35	15.10
T3	2	47.30	21.79
T3	2	58.44	18.26
T3	2	48.71	14.97
T3	2	50.02	15.85
T3	2	41.28	17.22
T3	2	48.69	16.55
T3	2	39.70	17.20
T3	2	41.14	22.40
T3	2	49.59	14.23
T5	2	14.79	3.95
T5	2	11.24	5.54
T5	2	16.11	6.12
T5	2	24.39	5.60
T5	2	17.15	4.94
T5	2	21.73	5.52
T5	2	15.52	8.11
T5	2	28.27	10.07
T5	2	27.68	8.11
T5	2	25.43	7.45
T5	2	17.46	6.81
T5	2	25.20	9.76
T5	2	18.96	6.79
T5	2	18.49	7.97
T5	2	24.69	9.34
T5	2	20.05	9.45
T5	2	21.16	8.42
T5	2	21.18	8.46
T6	2	11.33	3.89
T6	2	12.60	4.72
T6	2	14.80	4.34
T6	2	21.34	5.64
T6	2	16.94	5.68
T6	2	16.01	4.83
T6	2	19.13	8.16
T6	2	21.01	4.65
T6	2	26.77	6.88
T6	2	24.00	6.41
T6	2	24.46	7.59
T6	2	10.48	2.89
T6	2	19.04	4.50
T6	2	20.11	4.62
T6	2	17.71	5.81
T6	2	14.70	5.77
T6	2	22.22	7.31
T6	2	13.57	4.11
T7	2	24.46	10.10
T7	2	12.82	4.12
T7	2	20.83	7.72
T7	2	18.92	7.57
T7	2	27.70	8.87
T7	2	26.88	11.74
T7	2	35.34	14.39
T7	2	19.70	7.87
T7	2	23.87	7.09
T7	2	17.81	5.15
T7	2	17.87	6.26
T7	2	17.89	11.45
T7	2	27.74	11.42
T7	2	28.06	11.57
T7	2	30.59	9.77
T7	2	24.58	11.20
T7	2	19.36	6.51
T7	2	29.27	9.17
T8	2	17.83	4.31
T8	2	19.04	6.01
T8	2	15.49	3.70
T8	2	17.12	4.36
T8	2	23.57	5.43
T8	2	13.06	3.81
T8	2	21.15	7.08
T8	2	23.98	6.01
T8	2	30.31	7.84
T8	2	28.78	8.66
T8	2	28.24	10.57
T8	2	23.12	8.21
T8	2	29.06	12.04
T8	2	19.57	6.74
T8	2	15.29	7.50
T8	2	20.97	4.75
T8	2	19.38	4.35
T8	2	22.61	5.86
T3	24	65.76	16.67
T3	24	58.35	27.05
T3	24	56.67	20.79
T3	24	58.28	31.16
T3	24	59.70	22.85
T3	24	65.91	20.13
T3	24	55.70	32.37
T3	24	56.02	37.45
T3	24	57.50	31.26
T3	24	63.29	26.74
T3	24	70.29	22.36
T3	24	63.33	18.71
T3	24	62.17	18.39
T3	24	59.69	19.77
T3	24	67.40	26.12
T3	24	63.96	25.39
T3	24	62.40	36.97
T3	24	63.71	18.91
T5	24	45.21	21.14
T5	24	39.43	27.50
T5	24	43.21	23.57
T5	24	47.23	17.06
T5	24	43.26	20.65
T5	24	52.04	18.16
T5	24	42.41	25.16
T5	24	51.35	17.03
T5	24	53.05	20.25
T5	24	51.61	17.65
T5	24	43.94	22.85
T5	24	50.33	20.46
T5	24	46.99	24.62
T5	24	50.20	18.14
T5	24	51.46	21.08
T5	24	48.44	29.09
T5	24	50.50	30.05
T5	24	48.70	27.76
T6	24	32.97	13.25
T6	24	33.58	14.29
T6	24	36.50	13.17
T6	24	40.16	14.52
T6	24	37.81	13.88
T6	24	40.41	14.85
T6	24	39.37	18.09
T6	24	44.26	12.79
T6	24	45.15	12.25
T6	24	46.65	16.25
T6	24	43.78	19.77
T6	24	34.11	18.62
T6	24	42.95	12.53
T6	24	41.35	14.00
T6	24	38.43	17.52
T6	24	39.23	16.75
T6	24	42.93	17.18
T6	24	33.57	20.49
T7	24	47.05	22.52
T7	24	43.51	22.50
T7	24	47.29	25.37
T7	24	46.27	22.09
T7	24	49.01	19.35
T7	24	48.90	19.05
T7	24	54.52	14.53
T7	24	44.85	22.72
T7	24	45.71	21.40
T7	24	42.89	21.84
T7	24	43.93	21.46
T7	24	45.91	17.82
T7	24	49.39	22.11
T7	24	51.22	23.48
T7	24	51.64	20.70
T7	24	50.05	23.84
T7	24	46.88	23.95
T7	24	51.70	15.93
T8	24	43.90	24.15
T8	24	46.22	21.53
T8	24	41.61	25.74
T8	24	45.70	18.39
T8	24	49.85	17.17
T8	24	38.74	18.35
T8	24	46.51	18.24
T8	24	50.55	14.72
T8	24	50.86	12.96
T8	24	50.08	14.14
T8	24	50.30	18.84
T8	24	47.11	21.22
T8	24	50.02	18.57
T8	24	42.03	22.88
T8	24	38.42	20.04
T8	24	45.66	20.66
T8	24	46.35	14.19
T8	24	45.22	16.95
